openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220107090000,43082.30000000,43145.83000000,43082.30000000,43133.00000000,20.95418000,20220107090059,903328.37789480,960,12.07336000,520499.21373390,0
20220107090100,43133.01000000,43133.01000000,43075.00000000,43090.60000000,19.49916000,20220107090159,840374.38423550,692,5.41179000,233210.59709410,0
20220107090200,43090.59000000,43144.29000000,43085.05000000,43122.25000000,30.12207000,20220107090259,1298784.26433890,805,21.11400000,910404.38435000,0
20220107090300,43122.26000000,43130.34000000,43086.51000000,43096.29000000,17.63412000,20220107090359,760172.32677850,562,6.25609000,269697.12249960,0
20220107090400,43096.29000000,43102.19000000,43070.00000000,43071.87000000,17.00204000,20220107090459,732474.78510650,626,5.87381000,253045.18585350,0
20220107090500,43070.03000000,43085.05000000,43070.03000000,43078.00000000,14.92286000,20220107090559,642849.32753000,465,7.75598000,334100.86625340,0
20220107090600,43078.00000000,43085.04000000,43070.95000000,43081.04000000,10.17317000,20220107090659,438242.55296500,473,4.33447000,186720.48746770,0
20220107090700,43081.04000000,43084.43000000,43032.46000000,43032.46000000,22.23361000,20220107090759,957362.16978770,624,5.60309000,241248.50646040,0
20220107090800,43032.46000000,43032.47000000,42949.71000000,43011.17000000,125.68539000,20220107090859,5403424.94160530,2343,51.78211000,2226015.97489550,0
20220107090900,43011.16000000,43011.17000000,42929.25000000,42940.61000000,27.68678000,20220107090959,1189636.08465330,964,10.91284000,468832.66756040,0
20220107091000,42940.60000000,42997.83000000,42929.72000000,42941.28000000,24.69381000,20220107091059,1060767.53391980,817,10.99311000,472255.03579000,0
20220107091100,42941.28000000,42974.45000000,42912.86000000,42967.95000000,29.39044000,20220107091159,1262393.10953140,811,10.29920000,442425.03162980,0
20220107091200,42967.96000000,42967.96000000,42892.01000000,42909.43000000,46.86187000,20220107091259,2010786.22177080,1244,21.08542000,904703.11366680,0
20220107091300,42909.43000000,42950.69000000,42906.77000000,42930.76000000,20.86889000,20220107091359,895903.25676420,732,12.19220000,523446.91376180,0
20220107091400,42930.77000000,42940.00000000,42916.33000000,42922.88000000,8.16185000,20220107091459,350392.18702690,447,3.91218000,167940.92267800,0
20220107091500,42922.88000000,42967.09000000,42920.42000000,42959.93000000,16.46244000,20220107091559,706954.96124440,568,13.43934000,577103.41341990,0
20220107091600,42959.93000000,43000.00000000,42959.08000000,42999.99000000,15.86780000,20220107091659,681991.08263530,702,12.17602000,523310.15010870,0
20220107091700,43000.00000000,43004.55000000,42965.81000000,42965.81000000,21.32827000,20220107091759,916722.42609210,519,7.45660000,320471.26562300,0
20220107091800,42965.81000000,42965.82000000,42897.63000000,42915.57000000,17.51827000,20220107091859,752054.69257650,551,7.83364000,336248.97752250,0
20220107091900,42915.57000000,42935.72000000,42853.00000000,42864.41000000,17.51496000,20220107091959,751098.91754900,968,6.71575000,287947.15859300,0
20220107092000,42864.41000000,42880.26000000,42828.00000000,42856.65000000,33.37646000,20220107092059,1430096.73351960,951,12.49405000,535380.11290960,0
20220107092100,42856.64000000,42934.59000000,42856.64000000,42922.26000000,36.21172000,20220107092159,1553873.97642570,777,25.85329000,1109348.02358580,0
20220107092200,42922.26000000,42935.08000000,42885.01000000,42927.52000000,9.84010000,20220107092259,422285.09309550,517,4.76279000,204385.69824930,0
20220107092300,42927.52000000,42930.00000000,42884.23000000,42888.39000000,14.33250000,20220107092359,615083.41550100,485,5.94611000,255163.96768830,0
20220107092400,42888.38000000,42920.00000000,42879.79000000,42885.67000000,14.59674000,20220107092459,626239.46704150,469,10.58564000,454169.93054050,0
20220107092500,42885.66000000,42900.04000000,42860.09000000,42890.00000000,6.99367000,20220107092559,299924.08399280,434,2.56192000,109867.82585590,0
20220107092600,42889.99000000,42902.76000000,42871.74000000,42875.94000000,8.42906000,20220107092659,361501.37609500,369,4.54317000,194847.93851520,0
20220107092700,42875.94000000,42927.52000000,42872.95000000,42927.49000000,14.20630000,20220107092759,609428.38968940,474,8.07209000,346275.64632570,0
20220107092800,42927.50000000,42935.84000000,42910.92000000,42910.92000000,6.72043000,20220107092859,288463.75710520,360,3.20310000,137481.31106080,0
20220107092900,42910.93000000,42930.00000000,42905.10000000,42905.12000000,14.71495000,20220107092959,631522.41497910,377,9.85003000,422726.86831000,0
20220107093000,42905.12000000,42935.28000000,42889.78000000,42933.74000000,11.40289000,20220107093059,489362.20736470,487,7.07479000,303645.86901380,0
20220107093100,42933.74000000,42933.75000000,42862.83000000,42867.75000000,25.38992000,20220107093159,1089004.25733220,682,11.42310000,489933.09286850,0
20220107093200,42867.76000000,42876.60000000,42804.12000000,42804.12000000,52.42782000,20220107093259,2245393.04129660,882,4.38362000,187794.24180110,0
20220107093300,42804.13000000,42836.31000000,42784.62000000,42798.98000000,63.96682000,20220107093359,2738087.98975410,1315,22.91613000,980958.40023120,0
20220107093400,42798.97000000,42835.77000000,42759.00000000,42759.00000000,110.54601000,20220107093459,4731055.27761210,1533,68.12465000,2915602.41609240,0
20220107093500,42759.01000000,42817.67000000,42738.00000000,42810.94000000,42.72648000,20220107093559,1827324.92925210,1158,17.83524000,762733.23308140,0
20220107093600,42812.12000000,42828.95000000,42773.38000000,42828.95000000,22.48524000,20220107093659,962402.78718660,654,7.80318000,334004.71925280,0
20220107093700,42828.95000000,42831.62000000,42805.60000000,42830.37000000,14.27012000,20220107093759,611063.23216340,630,8.82153000,377751.52923770,0
20220107093800,42830.37000000,42881.70000000,42830.36000000,42850.53000000,22.66981000,20220107093859,971578.29085660,633,15.40931000,660427.26328170,0
20220107093900,42850.52000000,42857.21000000,42780.00000000,42800.00000000,18.18258000,20220107093959,778484.88288130,673,6.81344000,291729.41256380,0
20220107094000,42799.99000000,42832.52000000,42799.99000000,42832.52000000,11.88384000,20220107094059,508729.95233590,449,5.34572000,228853.41280640,0
20220107094100,42832.51000000,42849.66000000,42763.19000000,42772.16000000,16.51206000,20220107094159,706819.95851980,659,4.29772000,183957.42419550,0
20220107094200,42772.15000000,42786.07000000,42755.22000000,42779.20000000,20.24509000,20220107094259,865955.13460150,975,10.78515000,461324.29694930,0
20220107094300,42779.19000000,42794.00000000,42767.26000000,42790.89000000,20.09281000,20220107094359,859593.81272580,627,7.96569000,340790.15577010,0
20220107094400,42794.00000000,42794.00000000,42749.03000000,42765.76000000,25.04460000,20220107094459,1071191.04687970,745,10.65273000,455569.12476470,0
20220107094500,42765.76000000,42797.97000000,42757.95000000,42782.64000000,21.60701000,20220107094559,924383.21490500,795,8.97505000,383952.73654960,0
20220107094600,42782.64000000,42821.73000000,42777.11000000,42810.45000000,19.15945000,20220107094659,820024.33640270,554,16.59915000,710430.47917470,0
20220107094700,42810.45000000,42846.11000000,42810.45000000,42845.57000000,12.47289000,20220107094759,534131.39971060,498,9.57875000,410193.51046310,0
20220107094800,42845.57000000,42846.11000000,42816.00000000,42819.52000000,8.71485000,20220107094859,373247.64420610,455,4.90117000,209912.39505240,0
20220107094900,42819.52000000,42833.85000000,42787.29000000,42787.30000000,15.32727000,20220107094959,656242.32614430,459,4.53514000,194208.77769350,0
20220107095000,42787.30000000,42849.84000000,42781.14000000,42843.79000000,14.10333000,20220107095059,603745.30880290,503,8.68382000,371743.24493290,0
