openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220210210000,44834.09000000,44850.00000000,44760.00000000,44791.42000000,74.58383000,20220210210059,3342104.73937580,1303,24.05777000,1078020.00689630,0
20220210210100,44791.41000000,44794.61000000,44755.00000000,44774.00000000,27.31972000,20220210210159,1223361.81791990,901,9.69798000,434286.11408340,0
20220210210200,44773.99000000,44838.12000000,44772.72000000,44838.11000000,16.77678000,20220210210259,751647.65250520,657,6.94263000,311059.11216990,0
20220210210300,44838.12000000,44989.79000000,44838.11000000,44951.15000000,82.71958000,20220210210359,3717622.51174760,1683,40.72274000,1829729.78462020,0
20220210210400,44951.14000000,44986.62000000,44925.89000000,44949.72000000,46.75115000,20220210210459,2101812.07989530,1077,14.65767000,658794.82319530,0
20220210210500,44949.73000000,44949.73000000,44857.70000000,44919.15000000,31.08145000,20220210210559,1395448.05075620,955,11.14232000,500163.63479820,0
20220210210600,44919.14000000,44919.15000000,44857.21000000,44857.75000000,22.56141000,20220210210659,1012581.52362870,746,7.92286000,355568.47941880,0
20220210210700,44857.75000000,44895.51000000,44856.87000000,44895.49000000,31.12792000,20220210210759,1396967.99226840,752,20.61861000,925346.95127760,0
20220210210800,44895.50000000,44895.51000000,44873.17000000,44883.01000000,22.30203000,20220210210859,1000932.38491670,649,6.35237000,285097.27408920,0
20220210210900,44883.02000000,44969.59000000,44882.00000000,44949.02000000,51.36071000,20220210210959,2307868.63467400,1090,27.28126000,1225760.15203880,0
20220210211000,44949.02000000,44982.83000000,44925.59000000,44973.50000000,55.53779000,20220210211059,2496544.61198540,932,28.53293000,1282650.00293970,0
20220210211100,44973.50000000,44986.53000000,44930.00000000,44930.01000000,25.34819000,20220210211159,1139820.24668760,836,6.99744000,314615.19445950,0
20220210211200,44930.01000000,44930.33000000,44895.50000000,44907.20000000,12.64981000,20220210211259,568169.65790460,643,5.14703000,231181.52378510,0
20220210211300,44907.19000000,44936.00000000,44900.68000000,44916.59000000,15.31597000,20220210211359,688005.04247900,666,7.19880000,323363.60179390,0
20220210211400,44916.59000000,44942.45000000,44911.81000000,44942.44000000,17.55528000,20220210211459,788740.48189570,650,10.45541000,469746.98728160,0
20220210211500,44942.44000000,44950.00000000,44901.58000000,44914.73000000,20.19293000,20220210211559,907169.48716800,649,11.31844000,508487.21615840,0
20220210211600,44914.72000000,44915.76000000,44864.94000000,44872.12000000,24.59023000,20220210211659,1103798.06438550,751,9.05338000,406376.49607090,0
20220210211700,44872.12000000,44874.70000000,44814.87000000,44827.14000000,32.33492000,20220210211759,1450017.38400710,793,12.62778000,566281.72902120,0
20220210211800,44827.13000000,44829.89000000,44735.68000000,44753.51000000,136.51013000,20220210211859,6112116.13503040,1981,57.27720000,2564499.18084720,0
20220210211900,44753.51000000,44760.00000000,44703.59000000,44714.61000000,44.15915000,20220210211959,1974958.27419050,1143,16.60757000,742731.89717160,0
20220210212000,44714.61000000,44755.78000000,44703.62000000,44711.26000000,34.23340000,20220210212059,1531426.19230160,1051,16.80488000,751729.76850150,0
20220210212100,44711.25000000,44739.20000000,44703.62000000,44706.99000000,36.19837000,20220210212159,1618704.97769980,957,15.62786000,698833.85658880,0
20220210212200,44706.99000000,44752.43000000,44706.05000000,44711.98000000,32.12838000,20220210212259,1436880.62333840,1078,11.51655000,515112.56005200,0
20220210212300,44711.98000000,44711.99000000,44589.31000000,44633.28000000,60.13333000,20220210212359,2684533.34507460,2218,14.28202000,637490.18424220,0
20220210212400,44634.00000000,44689.55000000,44632.02000000,44675.66000000,40.59038000,20220210212459,1812951.88494650,1300,22.79921000,1018341.65717560,0
20220210212500,44675.66000000,44686.97000000,44665.00000000,44678.88000000,18.34058000,20220210212559,819413.90432750,804,9.76279000,436177.03609530,0
20220210212600,44678.88000000,44735.41000000,44678.88000000,44710.26000000,37.58430000,20220210212659,1680230.36119080,1110,24.32548000,1087382.48090250,0
20220210212700,44710.26000000,44737.91000000,44706.57000000,44709.02000000,23.61436000,20220210212759,1056141.53040350,872,7.39446000,330696.08567910,0
20220210212800,44709.00000000,44736.19000000,44700.05000000,44732.99000000,24.78576000,20220210212859,1108419.05495920,1103,12.86396000,575278.52462760,0
20220210212900,44732.99000000,44781.56000000,44731.42000000,44739.55000000,16.82251000,20220210212959,752887.13379210,812,10.32684000,462192.76966730,0
20220210213000,44739.56000000,44787.93000000,44737.16000000,44737.91000000,19.13804000,20220210213059,856576.02598520,787,9.87861000,442130.93213930,0
20220210213100,44737.91000000,44741.53000000,44674.03000000,44680.01000000,17.15304000,20220210213159,766833.52426320,750,6.34492000,283633.70561290,0
20220210213200,44680.01000000,44735.93000000,44675.87000000,44713.86000000,20.17250000,20220210213259,901933.96663910,786,11.87908000,531094.84461720,0
20220210213300,44713.86000000,44716.58000000,44685.03000000,44710.80000000,12.94334000,20220210213359,578677.98525260,929,5.11132000,228528.16257560,0
20220210213400,44710.81000000,44718.84000000,44685.79000000,44712.59000000,11.13121000,20220210213459,497578.89767820,710,3.93304000,175818.86632060,0
20220210213500,44712.58000000,44712.59000000,44658.39000000,44667.54000000,14.17218000,20220210213559,633264.97521940,811,6.61643000,295654.56017580,0
20220210213600,44667.55000000,44680.00000000,44641.24000000,44650.01000000,23.41758000,20220210213659,1045689.68276590,896,14.18674000,633445.14695310,0
20220210213700,44650.01000000,44669.98000000,44603.61000000,44648.42000000,66.46685000,20220210213759,2966825.42420920,1161,17.05964000,761664.87282300,0
20220210213800,44648.41000000,44667.45000000,44642.00000000,44664.74000000,24.81355000,20220210213859,1108079.11567460,863,14.99496000,669637.97493250,0
20220210213900,44664.75000000,44706.64000000,44655.01000000,44691.10000000,22.36273000,20220210213959,999205.82065800,780,11.77914000,526307.66801830,0
20220210214000,44691.10000000,44693.78000000,44661.19000000,44663.27000000,20.13702000,20220210214059,899811.65632390,572,4.81876000,215313.36581510,0
20220210214100,44663.27000000,44675.17000000,44621.40000000,44642.34000000,50.74205000,20220210214159,2265335.93279280,942,17.26512000,770790.59491280,0
20220210214200,44642.35000000,44646.31000000,44617.43000000,44631.96000000,14.80362000,20220210214259,660767.59308330,708,6.78633000,302912.58668160,0
20220210214300,44631.97000000,44651.98000000,44628.30000000,44635.64000000,13.79001000,20220210214359,615638.06788280,660,7.51390000,335446.70430930,0
20220210214400,44635.63000000,44639.09000000,44486.43000000,44627.73000000,227.32705000,20220210214459,10134036.44446930,3510,66.85376000,2980660.91703150,0
20220210214500,44627.73000000,44687.09000000,44616.84000000,44644.86000000,51.81692000,20220210214559,2313887.14396950,1366,32.85081000,1466902.23482250,0
