openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220109210000,41857.62000000,41900.00000000,41855.30000000,41899.59000000,12.59922000,20220109210059,527607.12248540,603,6.31134000,264298.05874050,0
20220109210100,41899.60000000,41923.39000000,41899.59000000,41910.00000000,9.95933000,20220109210159,417395.17062240,587,5.61880000,235482.70503330,0
20220109210200,41910.00000000,41910.00000000,41853.13000000,41859.99000000,24.20222000,20220109210259,1013542.69664580,578,3.69287000,154633.89026610,0
20220109210300,41858.00000000,41858.01000000,41797.91000000,41809.67000000,16.84264000,20220109210359,704335.74911120,668,6.48671000,271270.83143520,0
20220109210400,41809.67000000,41823.34000000,41776.00000000,41817.22000000,13.16907000,20220109210459,550488.28940000,549,3.95528000,165355.90122830,0
20220109210500,41817.21000000,41819.93000000,41780.59000000,41784.01000000,9.65910000,20220109210559,403738.99522220,420,2.63225000,110016.68598990,0
20220109210600,41784.02000000,41797.07000000,41771.35000000,41771.36000000,8.28746000,20220109210659,346262.32843330,390,3.16868000,132392.89516640,0
20220109210700,41771.35000000,41794.88000000,41766.00000000,41782.99000000,8.99013000,20220109210759,375524.07517320,366,1.96114000,81922.86126070,0
20220109210800,41782.98000000,41795.52000000,41750.00000000,41750.01000000,13.72922000,20220109210859,573519.65461640,570,3.08465000,128856.85141400,0
20220109210900,41750.00000000,41763.53000000,41735.51000000,41757.56000000,19.13624000,20220109210959,798903.08480940,567,8.58411000,358358.88806620,0
20220109211000,41757.57000000,41791.88000000,41747.00000000,41766.40000000,14.59808000,20220109211059,609757.04393710,562,7.16763000,299383.76710730,0
20220109211100,41766.39000000,41786.84000000,41760.87000000,41765.92000000,6.56400000,20220109211159,274218.85889330,343,2.35769000,98488.11890830,0
20220109211200,41765.91000000,41774.99000000,41724.00000000,41724.01000000,6.96754000,20220109211259,290890.90577250,463,2.19748000,91738.12680220,0
20220109211300,41724.01000000,41747.34000000,41701.00000000,41712.57000000,14.57870000,20220109211359,608282.32111460,594,4.80671000,200557.35461930,0
20220109211400,41712.57000000,41749.97000000,41712.57000000,41739.68000000,6.76377000,20220109211459,282260.94360480,366,3.21579000,134195.06274860,0
20220109211500,41739.68000000,41760.59000000,41720.97000000,41728.85000000,7.11025000,20220109211559,296763.01619310,423,3.15115000,131520.24378550,0
20220109211600,41728.83000000,41736.54000000,41710.95000000,41731.67000000,10.61242000,20220109211659,442752.92538840,355,6.62786000,276514.54398900,0
20220109211700,41731.66000000,41740.29000000,41724.63000000,41725.55000000,4.28943000,20220109211759,178997.53846330,321,2.57476000,107442.83618200,0
20220109211800,41725.56000000,41725.56000000,41701.00000000,41702.44000000,11.97452000,20220109211859,499480.45306240,462,3.88768000,162160.69876180,0
20220109211900,41702.44000000,41713.93000000,41686.05000000,41698.80000000,18.97588000,20220109211959,791336.94254570,525,5.67743000,236773.66351570,0
20220109212000,41698.81000000,41737.23000000,41692.18000000,41732.16000000,18.68923000,20220109212059,779673.83186620,435,4.12497000,172096.09274340,0
20220109212100,41732.16000000,41761.71000000,41723.31000000,41743.38000000,16.42102000,20220109212159,685445.56515890,383,5.92560000,247406.68957330,0
20220109212200,41745.47000000,41749.39000000,41696.25000000,41711.77000000,7.71826000,20220109212259,321980.40526900,303,2.25439000,94035.85968330,0
20220109212300,41711.77000000,41711.78000000,41665.46000000,41693.70000000,9.72723000,20220109212359,405498.24140800,455,4.50097000,187646.46902700,0
20220109212400,41693.70000000,41697.28000000,41683.50000000,41692.02000000,6.94570000,20220109212459,289566.47036520,311,4.03470000,168206.30294430,0
20220109212500,41692.02000000,41728.75000000,41689.12000000,41716.04000000,17.19987000,20220109212559,717292.78478550,423,8.63379000,360068.80496210,0
20220109212600,41716.03000000,41752.91000000,41712.55000000,41750.53000000,10.05506000,20220109212659,419646.66807150,407,4.64230000,193752.13927510,0
20220109212700,41750.53000000,41764.14000000,41744.72000000,41759.87000000,7.13403000,20220109212759,297883.36889700,380,3.16115000,131989.02087220,0
20220109212800,41759.88000000,41766.00000000,41752.07000000,41762.61000000,5.31626000,20220109212859,222009.54195380,329,2.37806000,99315.24888690,0
20220109212900,41762.60000000,41765.98000000,41745.61000000,41753.28000000,4.51510000,20220109212959,188530.44260900,325,1.90813000,79678.24233230,0
20220109213000,41753.28000000,41774.21000000,41752.30000000,41765.97000000,5.43338000,20220109213059,226921.37049130,335,2.87867000,120231.93767560,0
20220109213100,41765.97000000,41767.91000000,41742.71000000,41743.89000000,5.03697000,20220109213159,210325.56268730,346,2.57829000,107658.46612870,0
20220109213200,41743.90000000,41744.60000000,41707.14000000,41720.98000000,10.69413000,20220109213259,446204.86181630,467,3.40230000,141925.78017010,0
20220109213300,41720.97000000,41734.43000000,41708.37000000,41732.28000000,3.98422000,20220109213359,166228.55515410,314,2.51770000,105042.13728260,0
20220109213400,41732.29000000,41763.45000000,41730.65000000,41734.45000000,7.63299000,20220109213459,318669.77461610,349,2.47996000,103526.26097520,0
20220109213500,41734.43000000,41741.02000000,41725.35000000,41734.09000000,4.81505000,20220109213559,200949.54389090,318,2.70624000,112941.70015470,0
20220109213600,41734.08000000,41766.26000000,41725.32000000,41757.89000000,7.45860000,20220109213659,311388.46229650,345,4.93211000,205915.90501260,0
20220109213700,41757.87000000,41770.00000000,41754.13000000,41764.11000000,4.63112000,20220109213759,193410.04747190,280,2.58771000,108076.83247890,0
20220109213800,41764.11000000,41768.93000000,41751.07000000,41757.68000000,7.75113000,20220109213859,323664.60183020,298,4.72448000,197269.99782800,0
20220109213900,41757.68000000,41774.00000000,41751.67000000,41771.14000000,6.65989000,20220109213959,278106.74629940,256,3.69311000,154225.57233250,0
20220109214000,41771.14000000,41797.15000000,41760.17000000,41792.06000000,4.91385000,20220109214059,205296.02713490,315,2.47491000,103390.35828620,0
20220109214100,41792.06000000,41829.67000000,41785.44000000,41816.69000000,13.03032000,20220109214159,544739.92855990,478,10.09053000,421824.72197080,0
20220109214200,41816.68000000,41840.23000000,41810.00000000,41833.09000000,8.76456000,20220109214259,366593.93619870,391,4.72521000,197647.00479510,0
20220109214300,41833.09000000,41850.00000000,41821.04000000,41821.04000000,6.68632000,20220109214359,279764.17502670,439,4.14838000,173574.58855470,0
20220109214400,41821.04000000,41828.92000000,41789.68000000,41802.64000000,10.01961000,20220109214459,418806.14554780,392,2.46472000,103040.99198880,0
20220109214500,41802.63000000,41830.00000000,41802.63000000,41808.33000000,5.54921000,20220109214559,232043.37417070,355,3.48619000,145778.53698980,0
20220109214600,41808.32000000,41839.80000000,41804.29000000,41830.00000000,6.74760000,20220109214659,282213.62621310,343,4.18146000,174869.06023550,0
20220109214700,41830.01000000,41846.77000000,41824.68000000,41836.34000000,11.36891000,20220109214759,475602.71063700,353,3.71906000,155588.88080600,0
20220109214800,41836.33000000,41846.76000000,41830.40000000,41846.76000000,4.59392000,20220109214859,192205.89804160,250,3.00197000,125601.71021320,0
20220109214900,41846.02000000,41846.80000000,41810.99000000,41822.00000000,12.59970000,20220109214959,527041.34444110,357,4.03902000,168947.87302930,0
20220109215000,41822.00000000,41822.92000000,41801.00000000,41801.90000000,5.08874000,20220109215059,212742.52315880,308,1.61794000,67644.79709420,0
20220109215100,41801.90000000,41803.02000000,41767.63000000,41795.89000000,14.69382000,20220109215159,614058.36924050,428,6.32199000,264149.17015910,0
20220109215200,41795.89000000,41800.00000000,41772.97000000,41775.07000000,4.34316000,20220109215259,181486.18882590,327,1.59957000,66837.27631440,0
20220109215300,41775.07000000,41784.70000000,41768.10000000,41768.12000000,3.32170000,20220109215359,138767.79580800,307,1.33513000,55776.69738780,0
20220109215400,41768.13000000,41776.87000000,41765.65000000,41769.32000000,3.08108000,20220109215459,128698.74659100,314,1.46295000,61108.23810550,0
20220109215500,41769.31000000,41786.74000000,41766.11000000,41774.43000000,5.54881000,20220109215559,231790.47101600,340,2.69966000,112773.64254650,0
20220109215600,41774.43000000,41792.41000000,41769.31000000,41792.41000000,5.19056000,20220109215659,216828.90516800,355,3.75180000,156720.79761570,0
20220109215700,41792.40000000,41793.11000000,41775.01000000,41783.41000000,5.19904000,20220109215759,217253.25941240,264,2.65060000,110765.97100070,0
20220109215800,41780.05000000,41793.66000000,41779.01000000,41786.71000000,8.54930000,20220109215859,357235.34651380,305,6.11228000,255400.01998640,0
20220109215900,41786.72000000,41786.74000000,41736.23000000,41746.98000000,7.85850000,20220109215959,328126.33278230,489,2.07509000,86643.90357970,0
20220109220000,41746.98000000,41746.99000000,41692.16000000,41692.82000000,13.15631000,20220109220059,548747.27656240,619,3.71331000,154881.15752500,0
