openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220118210000,41854.13000000,41914.33000000,41843.90000000,41912.55000000,24.13557000,20220118210059,1010636.84127430,675,13.86139000,580496.19164730,0
20220118210100,41912.55000000,41919.68000000,41891.71000000,41906.94000000,18.02209000,20220118210159,755252.34705630,603,10.99371000,460754.36868430,0
20220118210200,41906.94000000,41939.97000000,41891.73000000,41910.66000000,18.44988000,20220118210259,773223.91799990,606,8.53169000,357530.04794750,0
20220118210300,41910.66000000,41950.00000000,41905.00000000,41930.15000000,18.97906000,20220118210359,795886.07350170,560,10.13038000,424801.83936800,0
20220118210400,41930.14000000,41933.57000000,41902.36000000,41902.97000000,10.05222000,20220118210459,421369.00110310,414,4.53058000,189909.57275230,0
20220118210500,41902.97000000,41929.00000000,41898.95000000,41914.52000000,9.02983000,20220118210559,378486.74933380,462,4.59679000,192665.59679030,0
20220118210600,41914.53000000,41914.53000000,41876.55000000,41884.30000000,9.34855000,20220118210659,391690.88823480,506,3.90384000,163554.26702060,0
20220118210700,41884.30000000,41884.30000000,41842.22000000,41842.23000000,8.72545000,20220118210759,365243.47747420,446,4.00617000,167682.31286740,0
20220118210800,41842.23000000,41850.00000000,41807.10000000,41816.88000000,14.71745000,20220118210859,615661.86802740,490,6.55176000,274077.72806940,0
20220118210900,41816.88000000,41854.17000000,41816.88000000,41835.17000000,6.94783000,20220118210959,290675.94442270,441,4.20286000,175828.70697330,0
20220118211000,41835.17000000,41856.18000000,41824.20000000,41852.95000000,6.73181000,20220118211059,281635.62643430,367,4.15451000,173808.33718570,0
20220118211100,41852.96000000,41864.26000000,41839.87000000,41843.41000000,9.73088000,20220118211159,407209.52265890,452,3.21627000,134593.55328510,0
20220118211200,41843.40000000,41843.41000000,41764.62000000,41771.99000000,11.70756000,20220118211259,489290.46400160,617,3.22275000,134681.91701610,0
20220118211300,41771.99000000,41785.44000000,41742.09000000,41763.36000000,18.81260000,20220118211359,785570.46243280,670,7.85024000,327836.96960860,0
20220118211400,41763.37000000,41793.54000000,41743.24000000,41762.01000000,15.94404000,20220118211459,665845.09256220,524,9.10796000,380313.77932320,0
