openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220107210000,42258.62000000,42350.00000000,42258.62000000,42331.20000000,22.13752000,20220107210059,936713.25930050,866,13.77960000,583012.99647320,0
20220107210100,42331.19000000,42349.98000000,42295.81000000,42295.81000000,17.85410000,20220107210159,755768.00857620,653,6.41567000,271561.83783980,0
20220107210200,42295.81000000,42316.66000000,42272.58000000,42294.37000000,10.68552000,20220107210259,451910.94315760,588,4.57866000,193642.66678780,0
20220107210300,42294.36000000,42368.51000000,42288.63000000,42347.07000000,34.92435000,20220107210359,1478750.04236060,914,26.27998000,1112770.54612520,0
20220107210400,42347.06000000,42363.00000000,42329.07000000,42363.00000000,15.49065000,20220107210459,655967.38095400,627,8.52091000,360846.63880220,0
20220107210500,42363.00000000,42376.48000000,42338.32000000,42373.98000000,17.70388000,20220107210559,749924.98061980,757,9.68817000,410388.35260600,0
20220107210600,42373.98000000,42373.99000000,42341.28000000,42347.20000000,15.08616000,20220107210659,638972.39099700,615,5.04075000,213481.15109670,0
20220107210700,42347.20000000,42353.55000000,42322.46000000,42337.23000000,9.14444000,20220107210759,387201.96735160,509,3.67718000,155701.17284770,0
20220107210800,42337.24000000,42350.00000000,42311.64000000,42312.94000000,10.17999000,20220107210859,430934.02333990,518,4.43406000,187714.21363930,0
20220107210900,42312.93000000,42321.75000000,42291.01000000,42304.23000000,9.96113000,20220107210959,421416.57646500,475,2.23094000,94394.44463620,0
20220107211000,42304.23000000,42324.64000000,42286.07000000,42291.10000000,14.41528000,20220107211059,609868.94295930,567,7.29729000,308735.47358950,0
20220107211100,42291.10000000,42309.57000000,42265.94000000,42288.11000000,6.47971000,20220107211159,274040.72696820,427,3.69197000,156137.13383930,0
20220107211200,42288.11000000,42330.00000000,42275.41000000,42325.49000000,15.50664000,20220107211259,655992.18483670,554,11.01517000,465973.32047540,0
20220107211300,42325.49000000,42366.90000000,42317.60000000,42349.98000000,18.14812000,20220107211359,768507.76483840,665,10.86670000,460179.17544300,0
20220107211400,42349.98000000,42368.65000000,42329.73000000,42356.33000000,12.36104000,20220107211459,523513.33214590,576,7.69723000,325997.19225550,0
20220107211500,42356.33000000,42370.60000000,42333.21000000,42369.63000000,14.05863000,20220107211559,595449.06048910,540,9.08164000,384649.34386310,0
20220107211600,42369.64000000,42369.64000000,42344.87000000,42349.99000000,12.58154000,20220107211659,532846.39691520,488,8.13829000,344658.63316360,0
20220107211700,42349.98000000,42349.99000000,42317.59000000,42325.46000000,13.07853000,20220107211759,553638.18691520,514,4.50659000,190761.43054600,0
20220107211800,42325.46000000,42349.89000000,42325.46000000,42346.58000000,7.25769000,20220107211859,307306.96024110,406,5.41911000,229454.11112220,0
20220107211900,42346.58000000,42400.00000000,42342.34000000,42380.72000000,17.54448000,20220107211959,743453.09522550,670,8.30660000,351962.48349240,0
20220107212000,42380.72000000,42416.14000000,42359.90000000,42371.37000000,26.41398000,20220107212059,1119627.66103090,769,13.22260000,560502.03574050,0
20220107212100,42371.37000000,42381.54000000,42335.69000000,42356.03000000,14.59900000,20220107212159,618388.80473720,513,4.22561000,178994.37100810,0
20220107212200,42356.03000000,42360.00000000,42324.73000000,42329.14000000,12.73274000,20220107212259,539090.46757630,502,5.85682000,247976.57811600,0
20220107212300,42329.15000000,42359.40000000,42306.86000000,42350.01000000,22.57578000,20220107212359,955697.64556260,568,16.54930000,700588.97112630,0
20220107212400,42350.00000000,42350.01000000,42318.48000000,42338.45000000,16.30678000,20220107212459,690325.63768280,479,2.98372000,126305.66159010,0
20220107212500,42338.46000000,42374.03000000,42310.26000000,42363.19000000,17.09298000,20220107212559,723629.24668660,592,11.31736000,479100.65871130,0
20220107212600,42363.20000000,42468.19000000,42363.19000000,42445.93000000,37.35725000,20220107212659,1584712.01304300,955,26.56207000,1126761.45457230,0
20220107212700,42445.93000000,42447.44000000,42406.94000000,42426.91000000,11.87761000,20220107212759,503936.32257920,558,6.50273000,275871.33407470,0
20220107212800,42426.91000000,42454.86000000,42424.66000000,42442.99000000,4.34743000,20220107212859,184504.14563510,342,2.48045000,105265.56628680,0
20220107212900,42442.98000000,42442.99000000,42423.40000000,42440.00000000,8.28373000,20220107212959,351523.13182870,327,3.69664000,156859.08750540,0
20220107213000,42439.99000000,42497.88000000,42438.67000000,42473.11000000,32.53055000,20220107213059,1381633.43739520,957,22.82916000,969576.07227360,0
20220107213100,42470.71000000,42490.55000000,42453.49000000,42476.32000000,34.53037000,20220107213159,1466668.64512470,626,12.73225000,540794.45793520,0
20220107213200,42476.32000000,42491.83000000,42470.00000000,42487.74000000,21.49573000,20220107213259,913131.90902820,564,11.85990000,503819.47594960,0
20220107213300,42485.60000000,42493.86000000,42465.79000000,42470.10000000,15.90954000,20220107213359,675807.34272850,473,7.98887000,339350.56543210,0
20220107213400,42470.10000000,42470.10000000,42441.73000000,42445.23000000,15.03937000,20220107213459,638511.90743030,514,4.20687000,178602.15649870,0
20220107213500,42445.23000000,42449.36000000,42414.01000000,42414.87000000,21.13980000,20220107213559,897007.99476440,609,10.44915000,443436.32506010,0
20220107213600,42414.86000000,42427.95000000,42406.00000000,42416.76000000,12.42844000,20220107213659,527186.77087620,514,5.77963000,245159.58378160,0
20220107213700,42416.76000000,42439.54000000,42415.61000000,42425.19000000,12.43752000,20220107213759,527643.16954030,497,6.61059000,280444.99402990,0
20220107213800,42425.19000000,42464.04000000,42418.26000000,42440.01000000,13.45892000,20220107213859,571249.03731450,489,7.16274000,304000.39436520,0
20220107213900,42440.02000000,42449.77000000,42431.06000000,42434.81000000,8.48005000,20220107213959,359870.82037660,459,3.60466000,152970.09754160,0
20220107214000,42434.81000000,42444.09000000,42382.70000000,42393.68000000,26.03104000,20220107214059,1103804.13598390,650,6.54654000,277601.78198170,0
20220107214100,42393.67000000,42420.59000000,42389.83000000,42394.89000000,19.86338000,20220107214159,842150.29183100,572,11.48868000,487082.64072070,0
