openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
20220214210000,42112.71000000,42149.77000000,42081.61000000,42083.64000000,16.58429000,20220214210059,698457.25387880,552,7.65356000,322336.00668810,0
20220214210100,42083.64000000,42105.38000000,42066.72000000,42105.38000000,16.19301000,20220214210159,681361.08970230,515,7.96940000,335341.28521210,0
20220214210200,42105.38000000,42112.33000000,42086.81000000,42086.82000000,15.87422000,20220214210259,668320.29632090,508,4.55565000,191792.72613100,0
20220214210300,42086.81000000,42100.25000000,42072.00000000,42098.98000000,9.91834000,20220214210359,417427.35755400,488,3.67023000,154463.26107730,0
20220214210400,42098.98000000,42112.32000000,42084.51000000,42096.00000000,24.12617000,20220214210459,1015565.95756190,638,8.88222000,373899.91100830,0
20220214210500,42096.00000000,42101.48000000,42055.50000000,42065.94000000,19.34898000,20220214210559,813978.75925360,588,8.84478000,372042.85362290,0
20220214210600,42065.94000000,42102.80000000,42064.18000000,42102.80000000,20.55153000,20220214210659,864901.55035790,587,17.24472000,725736.89388870,0
20220214210700,42102.80000000,42126.03000000,42100.00000000,42108.14000000,6.25084000,20220214210759,263229.80981340,387,3.31659000,139657.94218390,0
20220214210800,42108.14000000,42118.45000000,42091.30000000,42105.37000000,5.32480000,20220214210859,224211.14929000,361,2.63112000,110788.46562320,0
20220214210900,42105.38000000,42105.38000000,42058.02000000,42058.84000000,16.76516000,20220214210959,705420.38439240,741,7.97437000,335524.99250410,0
20220214211000,42058.84000000,42069.99000000,42034.00000000,42041.19000000,25.44027000,20220214211059,1069714.32139660,1037,8.94058000,375937.49468970,0
20220214211100,42041.19000000,42072.38000000,42040.00000000,42051.37000000,13.20136000,20220214211159,555145.82749570,716,9.71392000,408480.95280900,0
20220214211200,42051.36000000,42063.22000000,42031.06000000,42033.41000000,36.24919000,20220214211259,1524045.29126020,672,13.09368000,550538.14612520,0
20220214211300,42033.41000000,42041.83000000,42025.00000000,42026.82000000,10.81835000,20220214211359,454698.68340090,658,4.81926000,202558.57788410,0
20220214211400,42026.82000000,42037.00000000,41994.22000000,42007.61000000,22.04461000,20220214211459,926130.55677290,802,9.92037000,416746.86706200,0
20220214211500,42007.60000000,42062.83000000,41996.13000000,41996.13000000,46.46960000,20220214211559,1952972.12251310,1273,31.22685000,1312401.79976910,0
20220214211600,41996.13000000,41996.14000000,41978.14000000,41984.34000000,15.48353000,20220214211659,650073.41012380,612,6.31190000,265004.83594340,0
20220214211700,41984.35000000,42001.30000000,41961.13000000,41992.19000000,21.51714000,20220214211759,903296.79858970,859,11.96996000,502548.81557710,0
20220214211800,41992.19000000,42047.06000000,41992.18000000,42013.52000000,18.53594000,20220214211859,778932.20730580,719,11.61978000,488270.24360550,0
20220214211900,42012.57000000,42027.53000000,41990.10000000,42012.85000000,40.81510000,20220214211959,1714519.24735950,1149,20.52278000,862038.08897960,0
20220214212000,42012.85000000,42047.26000000,42000.01000000,42035.21000000,25.81353000,20220214212059,1084731.77130120,740,20.86473000,876770.42493880,0
20220214212100,42035.21000000,42051.09000000,42019.04000000,42030.36000000,20.57665000,20220214212159,864934.93147040,532,6.72556000,282708.94062650,0
20220214212200,42030.36000000,42045.52000000,42022.31000000,42039.58000000,7.32895000,20220214212259,308076.16965580,455,4.37503000,183903.51555160,0
20220214212300,42039.58000000,42060.36000000,42026.94000000,42032.39000000,5.38095000,20220214212359,226232.64524170,364,3.03555000,127630.54345120,0
20220214212400,42032.39000000,42048.99000000,42026.95000000,42026.96000000,7.28467000,20220214212459,306234.37178710,430,3.00428000,126293.79331760,0
20220214212500,42026.96000000,42049.85000000,42020.21000000,42038.00000000,7.39522000,20220214212559,310896.59252950,408,2.18089000,91677.06769360,0
20220214212600,42037.99000000,42060.62000000,42037.99000000,42053.89000000,5.79213000,20220214212659,243573.06365560,379,3.98834000,167724.02029120,0
20220214212700,42053.89000000,42077.48000000,42053.68000000,42068.13000000,12.35568000,20220214212759,519756.49261050,511,5.98396000,251717.91937770,0
20220214212800,42068.12000000,42088.93000000,42065.86000000,42081.78000000,4.77727000,20220214212859,201012.66011680,385,3.01395000,126813.77283090,0
20220214212900,42081.78000000,42100.00000000,42081.77000000,42099.99000000,15.70880000,20220214212959,661191.07243890,494,11.08280000,466481.50740700,0
20220214213000,42100.00000000,42115.23000000,42074.60000000,42110.67000000,20.52126000,20220214213059,863725.81514900,483,12.51250000,526635.45897080,0
20220214213100,42110.68000000,42160.15000000,42110.67000000,42150.00000000,8.13318000,20220214213159,342742.95204300,468,4.84512000,204165.57362360,0
20220214213200,42150.01000000,42153.70000000,42137.90000000,42145.86000000,21.05551000,20220214213259,887425.52778360,506,12.32899000,519634.68442830,0
20220214213300,42145.86000000,42172.75000000,42145.86000000,42146.64000000,30.78011000,20220214213359,1297649.47117670,580,23.89443000,1007396.78383610,0
20220214213400,42146.63000000,42148.46000000,42084.54000000,42121.52000000,22.53145000,20220214213459,949089.02047020,589,6.15914000,259371.35486420,0
20220214213500,42121.51000000,42143.84000000,42115.00000000,42122.08000000,12.74642000,20220214213559,536958.91588070,440,7.10366000,299260.81979480,0
20220214213600,42122.09000000,42129.57000000,42101.71000000,42106.95000000,10.66293000,20220214213659,449070.70692680,402,3.97199000,167271.61420740,0
20220214213700,42106.96000000,42123.19000000,42104.57000000,42123.19000000,4.26667000,20220214213759,179681.30989380,307,2.33293000,98249.72601250,0
20220214213800,42123.18000000,42184.94000000,42102.90000000,42184.93000000,18.00953000,20220214213859,758844.97961030,584,11.45305000,482589.57864080,0
20220214213900,42184.93000000,42308.00000000,42184.93000000,42287.78000000,267.32713000,20220214213959,11297749.25249620,2451,209.71115000,8862430.90268890,0
20220214214000,42287.80000000,42389.99000000,42274.04000000,42330.56000000,140.06751000,20220214214059,5931360.64635740,2374,81.18090000,3437619.63486330,0
20220214214100,42330.56000000,42431.19000000,42327.43000000,42430.00000000,89.17430000,20220214214159,3780467.18449000,1739,52.05348000,2206563.59413250,0
20220214214200,42430.00000000,42441.95000000,42358.76000000,42362.17000000,94.87060000,20220214214259,4022077.75550810,2516,35.54292000,1506930.18080560,0
20220214214300,42362.16000000,42500.00000000,42357.83000000,42448.96000000,217.07490000,20220214214359,9209644.88412950,3467,101.17618000,4293781.21788800,0
20220214214400,42448.96000000,42455.99000000,42381.01000000,42389.96000000,77.20866000,20220214214459,3275541.13710120,1556,36.51756000,1549133.08532940,0
20220214214500,42389.95000000,42515.53000000,42389.95000000,42473.03000000,130.06102000,20220214214559,5524288.85139700,3270,76.72049000,3258547.72656310,0
20220214214600,42473.02000000,42506.81000000,42428.42000000,42444.19000000,115.14177000,20220214214659,4889725.82749140,2134,56.61064000,2404400.24148730,0
20220214214700,42444.20000000,42460.31000000,42390.97000000,42395.94000000,60.54442000,20220214214759,2569180.29254830,2590,22.52998000,956144.80291460,0
20220214214800,42395.94000000,42451.39000000,42336.29000000,42342.43000000,83.61528000,20220214214859,3545479.99909940,2049,38.61441000,1637426.72897620,0
20220214214900,42342.43000000,42354.42000000,42313.29000000,42339.54000000,35.83695000,20220214214959,1517055.49648820,976,15.36507000,650428.29115600,0
20220214215000,42339.54000000,42420.00000000,42316.78000000,42384.00000000,40.28243000,20220214215059,1706804.30619240,1286,17.93967000,760107.16428700,0
20220214215100,42383.99000000,42389.48000000,42359.01000000,42374.75000000,34.61140000,20220214215159,1466753.97844050,1008,14.80659000,627471.01605700,0
20220214215200,42374.76000000,42426.07000000,42374.75000000,42422.37000000,27.04255000,20220214215259,1146743.13090610,612,14.99234000,635718.47469080,0
20220214215300,42422.37000000,42438.11000000,42406.15000000,42408.64000000,18.71688000,20220214215359,793992.34245090,662,12.17882000,516633.19805130,0
20220214215400,42408.65000000,42448.93000000,42388.67000000,42442.93000000,40.80296000,20220214215459,1730772.28677560,846,28.05758000,1190214.95135350,0
20220214215500,42442.92000000,42542.05000000,42442.78000000,42509.82000000,90.12086000,20220214215559,3830529.38089210,2001,52.72977000,2241003.27605080,0
20220214215600,42509.82000000,42589.60000000,42477.19000000,42575.01000000,108.97690000,20220214215659,4635048.97371140,2168,80.43218000,3421154.65995220,0
20220214215700,42575.01000000,42591.49000000,42538.27000000,42561.87000000,142.85070000,20220214215759,6080655.53845080,2123,95.98231000,4085446.87061050,0
20220214215800,42561.37000000,42568.54000000,42510.12000000,42534.78000000,54.58973000,20220214215859,2322098.39922440,1475,30.77261000,1308951.85424210,0
